Entity,Code,Life expectancy,GDP per capita,Population,Continent
Afghanistan,AFG,62.5751,1928.4547,38972236,Asia
Albania,ALB,76.9893,11372.541,2866850,Europe
Algeria,DZA,74.4528,13086.293,43451668,Africa
American Samoa,ASM,72.4432,,46216,Oceania
Andorra,AND,79.0234,,77723,Europe
Angola,AGO,62.2612,6279.929,33428490,Africa
Anguilla,AIA,76.902,,15612,North America
Antigua and Barbuda,ATG,78.8406,,92672,North America
Argentina,ARG,75.8921,15975.839,45036032,South America
Armenia,ARM,72.173,11546.176,2805610,Asia
Aruba,ABW,75.7229,,106597,North America
Australia,AUS,84.3239,48268.945,25670052,Oceania
Austria,AUT,81.5036,40503.04,8907780,Europe
Azerbaijan,AZE,66.8679,16189.511,10284952,Asia
Bahamas,BHS,72.6766,,406478,North America
Bahrain,BHR,79.1735,36890.504,1477478,Asia
Bangladesh,BGD,71.9678,4418.9644,167420944,Asia
Barbados,BRB,77.3929,10487.387,280704,North America
Belarus,BLR,72.5132,19053.156,9633745,Europe
Belgium,BEL,80.7884,38763.44,11561716,Europe
Belize,BLZ,72.854,,394931,North America
Benin,BEN,60.088,2297.7698,12643121,Africa
Bermuda,BMU,81.136,,64051,North America
Bhutan,BTN,71.6094,,772512,Asia
Bolivia,BOL,64.4667,6062.065,11936169,South America
Bonaire Sint Eustatius and Saba,BES,75.9388,,26178,North America
Bosnia and Herzegovina,BIH,76.2254,10736.168,3318410,Europe
Botswana,BWA,65.6471,14162.686,2546404,Africa
Brazil,BRA,74.0089,13685.926,213196304,South America
British Virgin Islands,VGB,75.8486,,30934,North America
Brunei,BRN,74.7949,,441736,Asia
Bulgaria,BGR,73.6453,18203.832,6979181,Europe
Burkina Faso,BFA,59.7306,1638.8279,21522632,Africa
Burundi,BDI,61.5663,720.446,12220229,Africa
Cambodia,KHM,70.416,3728.1985,16396864,Asia
Cameroon,CMR,60.8328,2769.2869,26491090,Africa
Canada,CAN,82.0471,42493.63,37888704,North America
Cape Verde,CPV,74.8077,5831.9985,582646,Africa
Cayman Islands,CYM,75.1126,,67327,North America
Central African Republic,CAF,54.6042,613.78937,5343024,Africa
Chad,TCD,52.7774,1463.5312,16644707,Africa
Chile,CHL,79.3769,20205.87,19300318,South America
China,CHN,78.0766,17225.969,1424929792,Asia
Colombia,COL,74.7692,12377.135,50930656,South America
Comoros,COM,64.1665,1869.9441,806168,Africa
Congo,COG,63.7852,4203.1104,5702183,Africa
Cook Islands,COK,74.6606,,17050,Oceania
Costa Rica,CRI,79.277,13996.39,5123107,North America
Cote d'Ivoire,CIV,59.0318,3682.1353,26811792,Africa
Croatia,HRV,77.9845,21672.479,4096872,Europe
Cuba,CUB,77.5673,7364.1055,11300695,North America
Curacao,CUW,76.0981,,189298,North America
Cyprus,CYP,81.3905,28634.457,1237540,Europe
Czechia,CZE,78.5746,30365.37,10530951,Europe
Czechoslovakia,OWID_CZS,,29043.441,,Europe
Democratic Republic of Congo,COD,59.7392,794.2714,92853168,Africa
Denmark,DNK,81.5449,47171.086,5825638,Europe
Djibouti,DJI,62.6943,3426.696,1090162,Africa
Dominica,DMA,73.649,7974.3066,72011,North America
Dominican Republic,DOM,72.8894,15325.654,10999668,North America
East Timor,TLS,68.4755,,1299998,Asia
Ecuador,ECU,72.1535,9646.065,17588596,South America
Egypt,EGY,70.9905,12234.504,107465128,Africa
El Salvador,SLV,71.0609,8137.9746,6292734,North America
Equatorial Guinea,GNQ,60.7083,23300.297,1596057,Africa
Eritrea,ERI,67.1334,,3555869,Africa
Estonia,EST,78.3431,28261.582,1329449,Europe
Eswatini,SWZ,59.6922,8167.6895,1180663,Africa
Ethiopia,ETH,65.3705,2121.8591,117190920,Africa
Falkland Islands,FLK,78.4129,,3764,South America
Faroe Islands,FRO,79.3984,,52440,Europe
Fiji,FJI,67.9244,,920430,Oceania
Finland,FIN,81.8657,38871.703,5529468,Europe
France,FRA,82.2104,35913.82,64480052,Europe
French Guiana,GUF,76.9787,,290978,South America
French Polynesia,PYF,82.2167,,301935,Oceania
Gabon,GAB,66.5305,15745.749,2292583,Africa
Gambia,GMB,62.6125,1914.1969,2574005,Africa
Georgia,GEO,72.7653,11770.782,3765912,Asia
Germany,DEU,81.1472,44996.43,83328992,Europe
Ghana,GHA,64.114,4069.252,32180402,Africa
Gibraltar,GIB,82.1984,,32739,Europe
Greece,GRC,80.9092,21767.22,10512232,Europe
Greenland,GRL,72.2834,,56049,North America
Grenada,GRD,74.9238,,123672,North America
Guadeloupe,GLP,82.4437,,395649,North America
Guam,GUM,76.6124,,169245,Oceania
Guatemala,GTM,71.7969,7309.368,17362716,North America
Guernsey,GGY,82.242,,62823,Europe
Guinea,GIN,59.3273,1726.5083,13205157,Africa
Guinea-Bissau,GNB,59.9988,1531.3096,2015839,Africa
Guyana,GUY,68.4858,,797207,South America
Haiti,HTI,64.0518,1641.7617,11306804,North America
Honduras,HND,71.4619,4567.8857,10121762,North America
Hong Kong,HKG,85.1968,46550.258,7500955,Asia
Hungary,HUN,75.7297,26091.4,9750571,Europe
Iceland,ISL,82.5755,39368.4,366682,Europe
India,IND,70.1499,6730.547,1396387072,Asia
Indonesia,IDN,68.8077,11895.075,271857984,Asia
Iran,IRN,74.832,17296.264,87290192,Asia
Iraq,IRQ,69.1228,11717.375,42556988,Asia
Ireland,IRL,82.4699,55134.855,4946123,Europe
Isle of Man,IMN,80.588,,84063,Europe
Israel,ISR,82.3598,32730.943,8757487,Asia
Italy,ITA,82.3953,32385.326,59500576,Europe
Jamaica,JAM,71.8686,6880.4883,2820438,North America
Japan,JPN,84.6879,36826.64,125244760,Asia
Jersey,JEY,80.6968,,108332,Europe
Jordan,JOR,75.1843,8896.383,10928723,Asia
Kazakhstan,KAZ,70.0304,25124.486,18979250,Asia
Kenya,KEN,62.6755,3129.5852,51985780,Africa
Kiribati,KIR,67.2659,,126473,Oceania
Kosovo,OWID_KOS,76.5666,,1670702,Europe
Kuwait,KWT,76.9198,66365.99,4360451,Asia
Kyrgyzstan,KGZ,69.6291,4899.061,6424880,Asia
Laos,LAO,68.4968,6824.144,7319397,Asia
Latvia,LVA,75.4526,25453.064,1897057,Europe
Lebanon,LBN,77.8038,10182.637,5662924,Asia
Lesotho,LSO,54.6933,2297.383,2254104,Africa
Liberia,LBR,60.9476,768.40546,5087591,Africa
Libya,LBY,72.4722,11741.864,6653946,Africa
Liechtenstein,LIE,82.797,,38783,Europe
Lithuania,LTU,75.0676,28971.844,2820269,Europe
Luxembourg,LUX,81.4335,53489.332,630401,Europe
Macao,MAC,85.1841,,676287,Asia
Madagascar,MDG,65.182,1300.5428,28225182,Africa
Malawi,MWI,63.7167,1186.6827,19377058,Africa
Malaysia,MYS,75.9378,24279.316,33199988,Asia
Maldives,MDV,79.8747,,514451,Asia
Mali,MLI,58.6331,1638.9304,21224042,Africa
Malta,MLT,83.3545,29703.762,515364,Europe
Marshall Islands,MHL,64.977,,43437,Oceania
Martinique,MTQ,83.05,,370399,North America
Mauritania,MRT,64.5321,3532.2979,4498605,Africa
Mauritius,MUS,74.3306,18445.975,1297830,Africa
Mayotte,MYT,75.4106,,305591,Africa
Mexico,MEX,70.1328,15253.691,125998296,North America
Micronesia (country),FSM,70.674,,112119,Oceania
Moldova,MDA,70.1665,6560.7476,3084848,Europe
Monaco,MCO,86.538,,36943,Europe
Mongolia,MNG,72.141,12990.328,3294340,Asia
Montenegro,MNE,76.2575,17355.623,629058,Europe
Montserrat,MSR,75.3312,,4526,North America
Morocco,MAR,73.9199,7849.208,36688768,Africa
Mozambique,MOZ,61.1722,1076.6941,31178242,Africa
Myanmar,MMR,66.797,6282.8115,53423200,Asia
Namibia,NAM,62.829,7734.6055,2489099,Africa
Nauru,NRU,63.4367,,12339,Oceania
Nepal,NPL,69.2456,2832.8608,29348626,Asia
Netherlands,NLD,81.6381,46014.484,17434562,Europe
New Caledonia,NCL,80.8252,,286412,Oceania
New Zealand,NZL,82.7419,35853.69,5061130,Oceania
Nicaragua,NIC,71.7954,4575.1865,6755900,North America
Niger,NER,61.4506,962.7823,24333644,Africa
Nigeria,NGA,52.887,4976.3223,208327408,Africa
Niue,NIU,70.8119,,1963,Oceania
North Korea,PRK,73.2741,1584.3771,25867474,Asia
North Macedonia,MKD,75.1677,13125.83,2111078,Europe
Northern Mariana Islands,MNP,77.1541,,49611,Oceania
Norway,NOR,83.1951,83543.1,5379836,Europe
Oman,OMN,74.7571,46133.21,4543406,Asia
Pakistan,PAK,66.2695,5242.6953,227196736,Asia
Palau,PLW,65.3491,,17999,Oceania
Palestine,PSE,74.4035,4490.755,5019407,Asia
Panama,PAN,76.657,18840.738,4294391,North America
Papua New Guinea,PNG,65.7868,,9749641,Oceania
Paraguay,PRY,73.1816,8603.079,6618700,South America
Peru,PER,73.6655,11136.991,33304768,South America
Philippines,PHL,72.1191,7624.4136,112190984,Asia
Poland,POL,76.9424,28577.14,38428368,Europe
Portugal,PRT,81.0545,25700.283,10298186,Europe
Puerto Rico,PRI,78.0406,33787.4,3271570,North America
Qatar,QAT,79.0987,143118.53,2760390,Asia
Reunion,REU,82.1032,,957829,Africa
Romania,ROU,75.3456,24799.71,19442040,Europe
Russia,RUS,71.3423,24625.385,145617328,Europe
Rwanda,RWA,66.7741,1935.2662,13146367,Africa
Saint Barthelemy,BLM,80.223,,10706,North America
Saint Helena,SHN,76.8673,,5448,Africa
