year,format,group,revenue
1973-01-01,8 - Track,Tape,3223.159797297
1974-01-01,8 - Track,Tape,3260.164827586
1975-01-01,8 - Track,Tape,3171.335780669
1976-01-01,8 - Track,Tape,3488.200720562
1977-01-01,8 - Track,Tape,3916.554537954
1978-01-01,8 - Track,Tape,4255.167791411
1979-01-01,8 - Track,Tape,2758.454772727
1980-01-01,8 - Track,Tape,1871.713410194
1981-01-01,8 - Track,Tape,1007.711936194
1982-01-01,8 - Track,Tape,109.176994819
1983-01-01,8 - Track,Tape,0
1982-01-01,CD,Disc,0
1983-01-01,CD,Disc,50.538815261
1984-01-01,CD,Disc,290.964980751
1985-01-01,CD,Disc,1059.378461896
1986-01-01,CD,Disc,2483.562185219
1987-01-01,CD,Disc,4105.413802817
1988-01-01,CD,Disc,5170.07341082
1989-01-01,CD,Disc,6107.285028226
1990-01-01,CD,Disc,7728.599831676
1991-01-01,CD,Disc,9320.481596916
1992-01-01,CD,Disc,11110.668977192
1993-01-01,CD,Disc,13187.500117647
1994-01-01,CD,Disc,16715.102884615
1995-01-01,CD,Disc,18007.499980315
1996-01-01,CD,Disc,18530.526631612
1997-01-01,CD,Disc,18079.150096573
1998-01-01,CD,Disc,20496.622576687
1999-01-01,CD,Disc,22513.531071429
2000-01-01,CD,Disc,22458.127163182
2001-01-01,CD,Disc,21332.583043478
2002-01-01,CD,Disc,19592.918763202
2003-01-01,CD,Disc,17866.110595109
2004-01-01,CD,Disc,17733.591622552
2005-01-01,CD,Disc,15764.409272913
2006-01-01,CD,Disc,13605.844508929
2007-01-01,CD,Disc,10520.756664255
2008-01-01,CD,Disc,7436.976268329
2009-01-01,CD,Disc,5891.377310208
2010-01-01,CD,Disc,4548.945486481
2011-01-01,CD,Disc,4034.139737884
2012-01-01,CD,Disc,3168.321340109
2013-01-01,CD,Disc,2689.55332877
2014-01-01,CD,Disc,2195.814096104
2015-01-01,CD,Disc,1784.194733087
2016-01-01,CD,Disc,1378.809488191
2017-01-01,CD,Disc,1246.357914684
2018-01-01,CD,Disc,810.942438286
2019-01-01,CD,Disc,721.963353856
2020-01-01,CD,Disc,546.375543076
2021-01-01,CD,Disc,632.205389987
2022-01-01,CD,Disc,482.578146838
1987-01-01,CD Single,Disc,0
1988-01-01,CD Single,Disc,24.243609467
1990-01-01,CD Single,Disc,13.434812548
1991-01-01,CD Single,Disc,75.419900881
1992-01-01,CD Single,Disc,94.075128297
1993-01-01,CD Single,Disc,92.758470588
1994-01-01,CD Single,Disc,110.7823583
1995-01-01,CD Single,Disc,212.962201444
1996-01-01,CD Single,Disc,343.389327597
1997-01-01,CD Single,Disc,497.239990654
1998-01-01,CD Single,Disc,382.785558282
1999-01-01,CD Single,Disc,390.675102041
2000-01-01,CD Single,Disc,242.519561556
2001-01-01,CD Single,Disc,131.207267081
2002-01-01,CD Single,Disc,31.88459144
2003-01-01,CD Single,Disc,57.258586957
2004-01-01,CD Single,Disc,23.238883007
2005-01-01,CD Single,Disc,16.333535586
2006-01-01,CD Single,Disc,11.177795139
2007-01-01,CD Single,Disc,17.22330439
2008-01-01,CD Single,Disc,4.757446482
2009-01-01,CD Single,Disc,4.22878338
2010-01-01,CD Single,Disc,3.892117163
2011-01-01,CD Single,Disc,4.553645655
2012-01-01,CD Single,Disc,4.110906975
2013-01-01,CD Single,Disc,3.072486458
2014-01-01,CD Single,Disc,4.470148308
2015-01-01,CD Single,Disc,1.477921036
2016-01-01,CD Single,Disc,0.320934503
2017-01-01,CD Single,Disc,0.217699423
2018-01-01,CD Single,Disc,0.01841909
2019-01-01,CD Single,Disc,0.07161199
2020-01-01,CD Single,Disc,0.418784155
2021-01-01,CD Single,Disc,0.117422263
2022-01-01,CD Single,Disc,6.818145333
1973-01-01,Cassette,Tape,500.940990991
1974-01-01,Cassette,Tape,517.637241379
1975-01-01,Cassette,Tape,537.440780669
1976-01-01,Cassette,Tape,749.381959578
1977-01-01,Cassette,Tape,1205.390891089
1978-01-01,Cassette,Tape,2018.96041411
1979-01-01,Cassette,Tape,2340.433787879
1980-01-01,Cassette,Tape,2503.905036408
1981-01-01,Cassette,Tape,3421.713245325
1982-01-01,Cassette,Tape,4198.765259067
1983-01-01,Cassette,Tape,5320.973288153
1984-01-01,Cassette,Tape,6714.728147257
1985-01-01,Cassette,Tape,6558.899000929
1986-01-01,Cassette,Tape,6674.189530109
1987-01-01,Cassette,Tape,7624.74474912
1988-01-01,Cassette,Tape,8374.188000845
1989-01-01,Cassette,Tape,7896.492733871
1990-01-01,Cassette,Tape,7775.173848508
1991-01-01,Cassette,Tape,6488.260190896
1992-01-01,Cassette,Tape,6500.361913756
1993-01-01,Cassette,Tape,5905.352588235
1994-01-01,Cassette,Tape,5877.586653171
1995-01-01,Cassette,Tape,4423.622427822
1996-01-01,Cassette,Tape,3553.827734226
1997-01-01,Cassette,Tape,2776.484538941
1998-01-01,Cassette,Tape,2549.330273006
1999-01-01,Cassette,Tape,1864.84122449
2000-01-01,Cassette,Tape,1063.890998839
2001-01-01,Cassette,Tape,600.512857143
2002-01-01,Cassette,Tape,341.295269594
2003-01-01,Cassette,Tape,171.9348125
2004-01-01,Cassette,Tape,36.717435151
2005-01-01,Cassette,Tape,19.630212494
2006-01-01,Cassette,Tape,5.371148313
2007-01-01,Cassette,Tape,4.235238784
2008-01-01,Cassette,Tape,1.223343381
2009-01-01,Cassette,Tape,0
2010-01-01,Cassette,Tape,0
2011-01-01,Cassette,Tape,0
2012-01-01,Cassette,Tape,0
2013-01-01,Cassette,Tape,0
1983-01-01,Cassette Single,Tape,0
1984-01-01,Cassette Single,Tape,0
1985-01-01,Cassette Single,Tape,0
1986-01-01,Cassette Single,Tape,0
1987-01-01,Cassette Single,Tape,36.839493838
1988-01-01,Cassette Single,Tape,141.750900254
1989-01-01,Cassette Single,Tape,459.279540323
1990-01-01,Cassette Single,Tape,577.473026014
1991-01-01,Cassette Single,Tape,495.063964758
1992-01-01,Cassette Single,Tape,623.273799002
1993-01-01,Cassette Single,Tape,604.550294118
1994-01-01,Cassette Single,Tape,542.853302969
1995-01-01,Cassette Single,Tape,453.768874672
1996-01-01,Cassette Single,Tape,353.088537285
1997-01-01,Cassette Single,Tape,243.423317757
1998-01-01,Cassette Single,Tape,169.488539877
1999-01-01,Cassette Single,Tape,84.318367347
2000-01-01,Cassette Single,Tape,7.817729384
2001-01-01,Cassette Single,Tape,0
1995-01-01,DVD Audio,Other,0
1996-01-01,DVD Audio,Other,0
1997-01-01,DVD Audio,Other,0
1998-01-01,DVD Audio,Other,0
1999-01-01,DVD Audio,Other,0
2000-01-01,DVD Audio,Other,0
2001-01-01,DVD Audio,Other,9.914906832
2002-01-01,DVD Audio,Other,13.82750139
2003-01-01,DVD Audio,Other,12.724130435
2004-01-01,DVD Audio,Other,10.070182636
2005-01-01,DVD Audio,Other,16.783082437
2006-01-01,DVD Audio,Other,3.483988095
2007-01-01,DVD Audio,Other,3.952889532
2008-01-01,DVD Audio,Other,1.631124508
2009-01-01,DVD Audio,Other,2.182597874
2010-01-01,DVD Audio,Other,1.20789843
2011-01-01,DVD Audio,Other,0.390312485
2012-01-01,DVD Audio,Other,0.233399726
2014-01-01,DVD Audio,Other,2.644819303
2015-01-01,DVD Audio,Other,6.687653514
2016-01-01,DVD Audio,Other,3.45753978
2017-01-01,DVD Audio,Other,0.368721254
2018-01-01,DVD Audio,Other,0.383281189
2019-01-01,DVD Audio,Other,1.464871598
2020-01-01,DVD Audio,Other,2.084846663
2021-01-01,DVD Audio,Other,6.219476522
2022-01-01,DVD Audio,Other,0.073177273
2000-01-01,Download Album,Download,0
2001-01-01,Download Album,Download,0
2002-01-01,Download Album,Download,0
2003-01-01,Download Album,Download,0
2004-01-01,Download Album,Download,70.491278454
2005-01-01,Download Album,Download,203.345025602
2006-01-01,Download Album,Download,400.513464782
2007-01-01,Download Album,Download,702.202590449
2008-01-01,Download Album,Download,863.544500077
2009-01-01,Download Album,Download,1015.317248307
2010-01-01,Download Album,Download,1170.856211248
2011-01-01,Download Album,Download,1393.15536212
2012-01-01,Download Album,Download,1535.742455769
2013-01-01,Download Album,Download,1547.89016202
2014-01-01,Download Album,Download,1381.957231192
2015-01-01,Download Album,Download,1314.301578191
2016-01-01,Download Album,Download,1059.12934041
2017-01-01,Download Album,Download,775.745715303
2018-01-01,Download Album,Download,577.203455944
2019-01-01,Download Album,Download,422.146436817
2020-01-01,Download Album,Download,361.023305368
2021-01-01,Download Album,Download,327.543514751
2022-01-01,Download Album,Download,241.864662141
2001-01-01,Download Music Video,Download,0
2002-01-01,Download Music Video,Download,0
2003-01-01,Download Music Video,Download,0
2004-01-01,Download Music Video,Download,0
2005-01-01,Download Music Video,Download,5.544411162
2006-01-01,Download Music Video,Download,28.597735615
2007-01-01,Download Music Video,Download,39.811244573
2008-01-01,Download Music Video,Download,56.137868492
2009-01-01,Download Music Video,Download,55.792658143
2010-01-01,Download Music Video,Download,49.12120281
2011-01-01,Download Music Video,Download,42.15374835
2012-01-01,Download Music Video,Download,26.566836819
2013-01-01,Download Music Video,Download,21.030832737
2014-01-01,Download Music Video,Download,16.784071324
2015-01-01,Download Music Video,Download,7.92015675
2016-01-01,Download Music Video,Download,5.205936878
2017-01-01,Download Music Video,Download,3.326014152
2018-01-01,Download Music Video,Download,2.58826447
2019-01-01,Download Music Video,Download,2.123475776
2020-01-01,Download Music Video,Download,2.028851377
2021-01-01,Download Music Video,Download,2.065040112
2022-01-01,Download Music Video,Download,1.34292165
2000-01-01,Download Single,Download,0
2001-01-01,Download Single,Download,0
2002-01-01,Download Single,Download,0
2003-01-01,Download Single,Download,0
2004-01-01,Download Single,Download,213.797723663
2005-01-01,Download Single,Download,544.401236559
2006-01-01,Download Single,Download,842.834786706
2007-01-01,Download Single,Download,1144.926218041
2008-01-01,Download Single,Download,1403.038931181
2009-01-01,Download Single,Download,1598.752942383
2010-01-01,Download Single,Download,1793.594957259
2011-01-01,Download Single,Download,1980.705755783
2012-01-01,Download Single,Download,2096.273518483
2013-01-01,Download Single,Download,1976.628246878
2014-01-01,Download Single,Download,1675.471695712
2015-01-01,Download Single,Download,1463.46341511
2016-01-01,Download Single,Download,1097.645532594
2017-01-01,Download Single,Download,797.394060791
2018-01-01,Download Single,Download,570.919164664
2019-01-01,Download Single,Download,467.448777017
2020-01-01,Download Single,Download,342.936792588
2021-01-01,Download Single,Download,290.411731158
2022-01-01,Download Single,Download,214.141847111
2000-01-01,Kiosk,Other,0
2001-01-01,Kiosk,Other,0
2002-01-01,Kiosk,Other,0
2003-01-01,Kiosk,Other,0
2004-01-01,Kiosk,Other,0
2005-01-01,Kiosk,Other,1.498489503
2006-01-01,Kiosk,Other,2.758157242
2007-01-01,Kiosk,Other,3.67054028
2008-01-01,Kiosk,Other,3.534103101
2009-01-01,Kiosk,Other,8.593979127
2010-01-01,Kiosk,Other,8.589499945
2011-01-01,Kiosk,Other,3.512812362
2012-01-01,Kiosk,Other,4.657701824
2013-01-01,Kiosk,Other,7.768226019
2014-01-01,Kiosk,Other,3.192675971
2015-01-01,Kiosk,Other,4.569109634
2016-01-01,Kiosk,Other,3.589695181
2017-01-01,Kiosk,Other,2.691995172
2018-01-01,Kiosk,Other,2.290180992
2019-01-01,Kiosk,Other,1.816060385
2020-01-01,Kiosk,Other,1.330782261
2021-01-01,Kiosk,Other,0.810507272
2022-01-01,Kiosk,Other,0.39610202
1973-01-01,LP/EP,Vinyl,8212.795720721
