right_votes_24,right_votes_19,right_votes_14,total_votes_24,total_votes_19,total_votes_14,CNTR_CODE,lon,lat
1719,713,935,4377,3496,3373,LV,24.7,57.5
806,211,548,2761,2627,3123,LV,27,56.1
1543,661,833,3802,3076,2951,LV,24,56.4
1090,362,536,2598,1910,1868,LV,22.3,57
1434,546,709,3178,2425,2309,LV,23.1,57.3
2024,873,1100,5471,4295,4072,LV,25.1,57.3
2715,1189,1955,6577,5534,5286,LV,21.6,57.2
477,146,344,1301,1147,1217,LV,27.7,57.1
32959,15128,16989,97936,101527,89020,LV,24.2,56.8
1091,211,621,3221,3244,3857,LV,27.8,56.4
5408,2015,2517,11212,10043,9886,LV,21.3,56.4
1591,764,920,4288,3535,3435,LV,25.7,57.4
1207,497,923,3427,2939,3026,LV,26.6,56.8
1457,451,975,3869,3451,3499,LV,26.3,56.4
5135,2099,2314,12869,10850,9458,LV,24.8,56.9
336,58,260,1109,1099,1347,LV,27.4,55.8
743,299,438,1985,1667,1658,LV,26,57.8
1431,566,956,3801,3237,3237,LV,26,56.7
5433,2023,2494,11300,10150,9945,LV,21.3,56.7
2168,902,1180,5576,4711,4426,LV,25.6,56.8
2108,872,1127,5449,4624,4518,LV,25.3,56.5
1376,485,760,3337,2981,2946,LV,25.8,56.5
30550,13848,15612,91074,94700,83119,LV,24.4,57.1
860,313,548,2573,2391,2565,LV,26.7,56.5
698,165,436,2000,1957,2244,LV,27.5,56.8
972,408,672,2715,2186,2281,LV,26.8,57.2
797,262,577,2185,1924,2025,LV,27.1,56.9
2675,1014,1351,5866,4504,4251,LV,22.5,57.2
2159,832,1230,5213,4168,4182,LV,22.7,56.7
2945,621,1295,14184,16440,17861,LV,26.3,56
2668,1035,1222,6167,4600,4540,LV,23,57
1243,358,694,3513,3748,3948,LV,27.2,56.4
2759,1485,1545,7290,6219,5930,LV,25.3,57.7
1172,507,606,2824,2283,2205,LV,24.4,56.3
2478,962,1566,6441,5171,5052,LV,23.4,56.5
2914,1206,1888,6669,5365,5178,LV,22,57.4
1704,567,862,3995,2975,2969,LV,21.7,56.9
734,297,398,1859,1478,1428,LV,24.4,57.8
