state,age,population
AL,<10,598478
AL,10-19,638789
AL,20-29,661666
AL,30-39,603013
AL,40-49,625599
AL,50-59,673864
AL,60-69,548376
AL,70-79,316598
AL,≥80,174781
AK,<10,106741
AK,10-19,99926
AK,20-29,120674
AK,30-39,102008
AK,40-49,91539
AK,50-59,104569
AK,60-69,70473
AK,70-79,28422
AK,≥80,12503
AZ,<10,892083
AZ,10-19,912735
AZ,20-29,939804
AZ,30-39,857054
AZ,40-49,833290
AZ,50-59,834858
AZ,60-69,737884
AZ,70-79,466153
AZ,≥80,254716
AR,<10,392177
AR,10-19,397185
AR,20-29,399698
AR,30-39,372998
AR,40-49,370157
AR,50-59,395070
AR,60-69,329734
AR,70-79,197985
AR,≥80,113468
CA,<10,5038433
CA,10-19,5170341
CA,20-29,5809455
CA,30-39,5354112
CA,40-49,5179258
CA,50-59,5042094
CA,60-69,3737461
CA,70-79,2011678
CA,≥80,1311374
CO,<10,690830
CO,10-19,697447
CO,20-29,780508
CO,30-39,766382
CO,40-49,705450
CO,50-59,725661
CO,60-69,563376
CO,70-79,274466
CO,≥80,155175
CT,<10,399369
CT,10-19,481065
CT,20-29,462323
CT,30-39,424890
CT,40-49,496265
CT,50-59,546361
CT,60-69,400995
CT,70-79,217827
CT,≥80,159475
DE,<10,112177
DE,10-19,117854
DE,20-29,127554
DE,30-39,114063
DE,40-49,117588
DE,50-59,133331
DE,60-69,110822
DE,70-79,65369
DE,≥80,35937
DC,<10,74377
DC,10-19,62783
DC,20-29,136976
DC,30-39,121520
DC,40-49,80570
DC,50-59,74779
DC,60-69,56984
DC,70-79,31362
DC,≥80,19658
FL,<10,2211012
FL,10-19,2331102
FL,20-29,2597830
FL,30-39,2416176
FL,40-49,2575576
FL,50-59,2762983
FL,60-69,2404659
FL,70-79,1615547
FL,≥80,1019566
GA,<10,1363631
GA,10-19,1421557
GA,20-29,1418696
GA,30-39,1357210
GA,40-49,1404698
GA,50-59,1337985
GA,60-69,998253
GA,70-79,528108
GA,≥80,269182
HI,<10,176484
HI,10-19,163559
HI,20-29,204336
HI,30-39,187590
HI,40-49,176904
HI,50-59,188438
HI,60-69,164957
HI,70-79,85345
HI,≥80,66060
ID,<10,236658
ID,10-19,239509
ID,20-29,218684
ID,30-39,209500
ID,40-49,194678
ID,50-59,205170
ID,60-69,179429
ID,70-79,97621
ID,≥80,54234
IL,<10,1619682
IL,10-19,1715984
IL,20-29,1789739
IL,30-39,1721954
IL,40-49,1697069
IL,50-59,1773366
IL,60-69,1326121
IL,70-79,728821
IL,≥80,478948
IN,<10,863029
IN,10-19,905594
IN,20-29,905590
IN,30-39,827086
IN,40-49,844059
IN,50-59,911778
IN,60-69,704523
IN,70-79,384788
IN,≥80,243131
IA,<10,401712
IA,10-19,418667
IA,20-29,419456
IA,30-39,383638
IA,40-49,370719
IA,50-59,427554
IA,60-69,344037
IA,70-79,197223
IA,≥80,143583
KS,<10,401751
KS,10-19,402092
