state,age,population,pop_share
AL,<10,598478,0.124
AL,10-19,638789,0.132
AL,20-29,661666,0.137
AL,30-39,603013,0.125
AL,40-49,625599,0.129
AL,50-59,673864,0.139
AL,60-69,548376,0.113
AL,70-79,316598,0.065
AL,≥80,174781,0.036
AK,<10,106741,0.145
AK,10-19,99926,0.136
AK,20-29,120674,0.164
AK,30-39,102008,0.138
AK,40-49,91539,0.124
AK,50-59,104569,0.142
AK,60-69,70473,0.096
AK,70-79,28422,0.039
AK,≥80,12503,0.017
AZ,<10,892083,0.133
AZ,10-19,912735,0.136
AZ,20-29,939804,0.14
AZ,30-39,857054,0.127
AZ,40-49,833290,0.124
AZ,50-59,834858,0.124
AZ,60-69,737884,0.11
AZ,70-79,466153,0.069
AZ,≥80,254716,0.038
AR,<10,392177,0.132
AR,10-19,397185,0.134
AR,20-29,399698,0.135
AR,30-39,372998,0.126
AR,40-49,370157,0.125
AR,50-59,395070,0.133
AR,60-69,329734,0.111
AR,70-79,197985,0.067
AR,≥80,113468,0.038
CA,<10,5038433,0.13
CA,10-19,5170341,0.134
CA,20-29,5809455,0.15
CA,30-39,5354112,0.139
CA,40-49,5179258,0.134
CA,50-59,5042094,0.13
CA,60-69,3737461,0.097
CA,70-79,2011678,0.052
CA,≥80,1311374,0.034
CO,<10,690830,0.129
CO,10-19,697447,0.13
CO,20-29,780508,0.146
CO,30-39,766382,0.143
CO,40-49,705450,0.132
CO,50-59,725661,0.135
CO,60-69,563376,0.105
CO,70-79,274466,0.051
CO,≥80,155175,0.029
CT,<10,399369,0.111
CT,10-19,481065,0.134
CT,20-29,462323,0.129
CT,30-39,424890,0.118
CT,40-49,496265,0.138
CT,50-59,546361,0.152
CT,60-69,400995,0.112
CT,70-79,217827,0.061
CT,≥80,159475,0.044
DE,<10,112177,0.12
DE,10-19,117854,0.126
DE,20-29,127554,0.136
DE,30-39,114063,0.122
DE,40-49,117588,0.126
DE,50-59,133331,0.143
DE,60-69,110822,0.119
DE,70-79,65369,0.07
DE,≥80,35937,0.038
DC,<10,74377,0.113
DC,10-19,62783,0.095
DC,20-29,136976,0.208
DC,30-39,121520,0.184
DC,40-49,80570,0.122
DC,50-59,74779,0.113
DC,60-69,56984,0.086
DC,70-79,31362,0.048
DC,≥80,19658,0.03
FL,<10,2211012,0.111
FL,10-19,2331102,0.117
FL,20-29,2597830,0.13
FL,30-39,2416176,0.121
FL,40-49,2575576,0.129
FL,50-59,2762983,0.139
FL,60-69,2404659,0.121
FL,70-79,1615547,0.081
FL,≥80,1019566,0.051
GA,<10,1363631,0.135
GA,10-19,1421557,0.141
GA,20-29,1418696,0.14
GA,30-39,1357210,0.134
GA,40-49,1404698,0.139
GA,50-59,1337985,0.132
GA,60-69,998253,0.099
GA,70-79,528108,0.052
GA,≥80,269182,0.027
HI,<10,176484,0.125
HI,10-19,163559,0.116
HI,20-29,204336,0.145
HI,30-39,187590,0.133
HI,40-49,176904,0.125
HI,50-59,188438,0.133
HI,60-69,164957,0.117
HI,70-79,85345,0.06
HI,≥80,66060,0.047
ID,<10,236658,0.145
ID,10-19,239509,0.146
ID,20-29,218684,0.134
ID,30-39,209500,0.128
ID,40-49,194678,0.119
ID,50-59,205170,0.125
ID,60-69,179429,0.11
ID,70-79,97621,0.06
ID,≥80,54234,0.033
IL,<10,1619682,0.126
IL,10-19,1715984,0.134
